ObjectName,OrbitalRadius[km],Inclination[deg],RAAN[deg],Anomaly[deg]
STARLINK-1797,6737.79390497171,53.0398,95.2716,294.2432
STARLINK-1802,6828.14675184672,53.1549,124.3117,311.4743
STARLINK-1805,6738.83665836495,53.0428,130.5109,310.8798
STARLINK-1807,6849.99638799925,53.0556,140.7252,300.922
STARLINK-1810,6752.47791810857,53.0389,125.2565,298.4771
STARLINK-1815,6594.11962982459,53.0279,71.0208,118.3615
STARLINK-1817,6681.58949730716,53.041,94.5998,5.791
STARLINK-1821,6789.71659809456,53.0418,123.3136,47.7462
STARLINK-1826,6704.19645406741,53.0423,59.196,102.0279
STARLINK-1828,6737.26562433314,53.0467,122.8191,331.066
STARLINK-1830,6715.15133446582,53.0363,65.6326,139.5507
STARLINK-1892,6737.42576398625,53.0365,182.4114,350.8213
STARLINK-1905,6669.38379461041,53.0313,158.9814,215.1069
STARLINK-1922,6654.33120087656,53.0319,157.6622,272.1905
STARLINK-1928,6638.7469003658,53.0301,157.942,248.007
STARLINK-1835,6714.08317893743,53.0364,155.4079,355.7247
STARLINK-1882,6671.61989280708,53.0386,150.992,349.8378
STARLINK-1893,6733.05461845685,53.041,152.4618,282.2582
STARLINK-1931,6645.98839252433,53.03,156.6738,233.6804
STARLINK-1942,6733.43890696104,53.0366,182.8933,291.1543
STARLINK-1944,6666.49201965743,53.0316,145.1604,274.3046
STARLINK-1777,6739.80232597598,53.0435,172.5037,12.1089
STARLINK-1812,6881.0078436891,53.0771,217.7438,344.9914
STARLINK-1845,6729.21663220612,53.0429,161.7131,3.1375
STARLINK-1856,6735.81120745532,53.0433,159.1258,28.6225
STARLINK-1871,6833.76092999811,53.1555,202.9477,358.4469
STARLINK-1873,6703.93434933174,53.0416,149.1176,264.5293
STARLINK-1876,6672.4814639176,53.0379,146.6985,250.7379
STARLINK-1888,6740.53998667736,53.0441,167.8296,337.9269
STARLINK-1912,6718.63313416291,53.0443,167.2133,264.0035
STARLINK-1913,6839.26598917245,53.1564,216.5763,348.1011
STARLINK-2017,6848.904581057,53.1584,281.4732,271.8589
STARLINK-2034,6848.88847786127,53.1603,321.7992,298.2915
STARLINK-2045,6848.90464663851,53.1594,269.7894,293.6392
STARLINK-2046,6848.88279317557,53.1607,293.0422,279.4576
STARLINK-2047,6848.88682640967,53.1602,280.2202,299.0963
STARLINK-2049,6848.88657004724,53.1598,305.9542,288.7439
STARLINK-2050,6848.90092041848,53.1616,331.3139,255.2724
STARLINK-2055,6850.56221999643,53.1594,306.1411,224.8261
STARLINK-2071,6851.84614903441,53.1587,305.2255,310.5513
STARLINK-2076,6835.6371203137,53.1602,330.1113,77.3563
STARLINK-2081,6848.88336849981,53.1588,331.0474,272.6631
STARLINK-2082,6848.81152842869,53.1605,333.7062,285.6217
STARLINK-2084,6848.87217801797,53.1603,331.5235,277.4023
STARLINK-2088,6848.88477252993,53.1597,334.7369,264.347
STARLINK-2092,6848.89250514181,53.1596,330.8611,273.5752
STARLINK-2093,6659.21248781662,53.0391,278.6858,294.9684
STARLINK-2094,6848.87313490075,53.16,331.0658,279.6007
STARLINK-2096,6848.94381100811,53.1621,331.6652,262.6333
STARLINK-2097,6848.87652721686,53.1587,335.2553,268.1615
STARLINK-2098,6848.87925776609,53.1595,283.3283,271.6626
STARLINK-2099,6848.8935753084,53.1587,282.6606,251.2729
STARLINK-2100,6707.96228284849,53.0538,281.0768,161.728
STARLINK-2101,6848.88688006693,53.1587,306.2052,264.7756
STARLINK-2102,6848.91261182345,53.1599,295.9907,262.9254
STARLINK-2103,6839.33530372281,53.1584,282.9271,29.1888
STARLINK-2104,6853.3900821541,53.1617,306.2555,260.8689
STARLINK-2105,6848.8739337938,53.1609,305.9884,280.376
STARLINK-2106,6853.38596465466,53.1612,306.3201,283.2001
STARLINK-2109,6848.89518801148,53.1609,334.7994,359.8843
